,Id,name,gender,placeOfBirth
84,657,Shusaku Arakawa,0,Japan
105,2202,born 1945; Mel Ramsden Art & Language (Michael Baldwin  born 1944),0,0
106,17138,born 1939; David Bainbridge Art & Language (Terry Atkinson  born 1941; Michael Baldwin  born 1945; Harold Hurrell  born,0,0
107,668,born 1939; Michael Baldwin Art & Language (Terry Atkinson  born 1945),0,0
142,18070,John Bacon,0,0
145,12918,Ruth Baehnisch,0,0
217,718,Prof. Bernd Becher,0,0
242,2618,A. Belloguet,0,0
244,18264,Nikolaj Bendix Skyum Larsen,0,0
255,18242,Caroline Bergvall,0,0
327,13195,L Booth,0,0
354,795,Fionnuala and Leslie Boyd and Evans,0,0
411,10428,Christina Broom,0,0
684,3807,Samuel Cooper,0,0
834,5669,Viktor Deni,0,0
897,13086,Juan Downey,0,0
922,12074,Gaspard Dughet,0,0
979,14308,Eugenio Espinoza,0,0
1153,2552,G.W. Gent,0,0
1160,6642,Josif Gerasimovich,0,0
1207,6651,M. Glik,0,0
1218,13568,Jack Goldstein,0,0
1344,18244,Lawrence Abu Hamdan,0,0
1440,3819,Stephen Herwijck,0,0
1448,2259,Highmore,0,0
1540,13334,Enrique Huerta,0,0
1584,4561,Inventory,0,0
1593,5741,Sergei Ivanov,0,0
1672,3092,K.O.S.,0,0
1679,18243,Amar Kanwar,0,0
1719,5676,Georgii Kibardin,0,0
1760,17121,Nikolai Kochergin,0,0
1762,5645,Nikolai Kogout,0,0
1771,14424,Kiyohiko Komura,0,0
1785,17127,Vladimir Kozlinsky,0,0
1803,10957,KwieKulik,0,0
1810,13736,Suzanne Lacy,0,0
1815,2633,Lairesse,0,0
1843,2599,Ben and Nikki Langlands and Bell,0,0
1860,1474,Robin Laurie,0,0
1876,17924,David Le Marchand,0,0
1880,17197,Hubert Le Sueur,0,0
1889,5813,Alexander Lebedev,0,0
1974,1138,London Gallery,0,0
2000,16926,Len Lye,0,0
2001,9403,France) M/M (Paris,0,0
2017,1542,Alex Mackay,0,0
2083,2515,A Marsingall,0,0
2091,2581,J. Martin  of Canterbury,0,0
2107,2516,E. Masters,0,0
2121,5672,Vladimir Mayakovsky,0,0
2162,17135,Dmitrii Melnikov,0,0
2169,2538,Francis Merivale,0,0
2238,5648,Dmitrii Moor,0,0
2246,2551,T. Moore,0,0
2253,2634,Morin,0,0
2378,10282,Melik Ohanian,0,0
2413,17008,James Orrock,0,0
2443,18372,Sylvia Pankhurst,0,0
2471,18267,Pallavi Paul,0,0
2481,11736,Osmar Peçanha,0,0
2526,5673,Sergei Ivanovich Pichugin,0,0
2541,11741,Paulo Pires,0,0
2552,12600,Olivia Plender,0,0
2558,1783,Anne and Patrick Poirier,0,0
2613,15967,R. H. Quaytman,0,United States
2648,18896,Hester Reeve,0,0
2667,1830,Ingmar Reuter,0,0
2708,13335,Emilio Rivera,0,0
2777,7965,Russian School,0,0
2800,11737,Eduardo Salvatore,0,0
2805,12947,Gunther Sander,0,0
2870,18266,Mithu Sen,0,0
2938,2457,D. Skeaf,0,0
2973,2735,Stephanie Smith,0,0
2995,13098,Monika Sosnowska,0,0
3004,5888,Soviet School,0,0
3023,17224,William Staite-Murray,0,0
3043,5227,Haim Steinbach,0,0
3068,5739,Adolf Strakhov-Braslavsky,0,0
3110,15133,Diane Andrews Hall born 1945 T R Uthco (Doug Hall born 1944  Jody Procter 1944-1998),0,0
3133,11739,Dalmo Teixeira Filho,0,0
3139,16241,1939-1993; Mel Ramsden Art & Language (Ian Burn  born 1944),0,0
3154,2536,W. Thomson,0,0
3182,2537,Tollemache,0,0
3192,17656,Léonard Cosme Totchemetcheho,0,0
3230,2541,M. Turton,0,0
3257,17134,V.Ch.K.,0,0
3261,17036,Adolphe Valette,0,0
3275,17129,Vara,0,0
3301,2107,Dee Villers,0,0
3305,17732,Francis Vivares,0,0
3317,11825,Imke Wagener,0,0
3319,14825,Shelagh Wakely,0,0
3386,18071,Richard Westmacott,0,0
3495,11740,José Yalenti,0,0
3509,15539,Marc Voge) Young-Hae Chang Heavy Industries (Young-Hae Chang,0,0
3522,13099,Jakub Julian Ziolkowski,0,0
